Typnummer;Typname;Typtext
1;H0;Haushalt
2;G0;Gewerbe allgemein
3;G1;Gewerbe werktags 8-18
4;G2;Gewerbe mit starkem bis überwiegendem Verbrauch in
5;G3;Gewerbe durchlaufend
6;G4;Laden/Friseur
7;G5;Bäckerei mit Backstube
8;G6;Wochenendbetrieb
9;L0;Landwirtschaftsbetriebe
10;L1;Landwirtschaftsbetriebe mit Milchwirtschaft/Nebene
11;L2;Übrige Landwirtschaftsbetriebe
12;U0;Warmwasserbereitung unterbrechbar
13;U1;Heizung unterbrechbar
14;E0;Wasserkraft, Windkraft, Biogas
15;E1;Photovoltaik
16;ULA;Warmwasserspeicher ohne Tagnachladung
17;ULB;Warmwasserspeicher mit Tagnachladung
18;ULC;Nachtspeicherheizung ohne Tagnachladung
19;ULD;Nachtspeicherheizung mit Tagnachladung
20;ULE;Mischanlage ohne Tagnachladung
21;ULF;Mischanlage mit Tagnachladung
22;EAGU1;EAG Nachtspeicherheizung ohne Tagnachladung
23;EAGU2;EAG Nachtspeicherheizung mit Tagnachladung
24;HA;Haushalt mit Warmwasserspeicher an einem Zählpunkt
25;HF;Haushalt mit Speicherheizung an einem Zählpunkt
26;G7;Mobilfunksendestationen
27;B1;Öffentliche Beleuchtung
